OverallQual,OverallCond,YearBuilt,YearRemodAdd,TotalBsmtSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,WoodDeckSF,YrSold,SaleCondition,SalePrice
6,4,1954,1972,994,639,0,1855,0,0,2,0,4,1,7,182,2006,Normal,136900
7,5,2000,2000,384,656,0,1430,0,0,2,1,3,1,7,180,2010,Normal,180000
7,5,2007,2007,1264,1414,0,2696,1,0,2,1,4,1,10,120,2007,Partial,383970
6,5,1953,1953,1809,0,0,2259,1,0,2,0,3,1,7,166,2007,Abnorml,217000
6,8,1945,2002,1028,884,0,2320,1,0,2,1,3,1,9,224,2007,Normal,259500
6,5,1999,1999,729,729,0,1458,0,0,2,1,2,1,5,0,2007,Normal,176000
5,5,1962,1962,1092,0,0,1092,0,1,1,0,3,1,6,0,2009,Normal,139000
5,5,2006,2007,1125,0,0,1125,0,0,1,1,2,1,5,80,2007,Partial,155000
7,5,1990,1990,1673,1523,0,3222,1,0,3,0,5,1,11,367,2010,Normal,320000
6,5,2005,2006,728,728,0,1456,0,0,2,1,3,1,8,0,2006,Partial,163990
6,5,1969,1969,938,0,0,988,1,0,1,0,1,1,4,0,2006,Normal,180000
4,5,1939,1950,732,351,0,1123,0,0,1,0,3,1,4,0,2007,Normal,100000
6,7,1958,1958,1080,0,0,1080,0,0,1,0,3,1,5,0,2008,Normal,136000
6,5,1993,1993,1199,0,0,1199,0,0,2,0,2,1,5,0,2008,Normal,153900
6,5,1979,1998,1362,0,0,1586,0,0,2,0,3,1,7,192,2009,Normal,181000
6,8,1935,1982,520,0,234,754,1,0,1,0,2,1,5,53,2006,Normal,84500
6,5,1976,1976,1078,0,0,958,0,0,2,0,2,1,5,0,2007,Normal,128000
5,7,1930,1950,672,0,0,840,0,0,1,0,3,1,5,0,2007,Normal,87000
6,5,1966,1966,660,688,0,1348,0,0,1,1,3,1,6,188,2006,Normal,155000
5,7,1958,1991,1008,0,0,1053,0,1,1,1,3,1,6,0,2006,Abnorml,150000
7,6,1966,1966,924,941,0,2157,0,0,2,1,4,1,8,105,2006,Normal,226000
6,5,2000,2000,992,1032,0,2054,1,0,2,1,3,1,7,24,2009,Normal,244000
5,6,1959,2002,1063,0,0,1327,1,0,1,0,3,1,7,0,2007,Normal,150750
8,5,2001,2002,1267,0,0,1296,1,0,2,0,2,1,6,192,2009,Normal,220000
5,6,1968,1993,1461,0,0,1721,0,0,2,1,3,1,7,0,2006,Normal,180000
7,6,1970,1970,1304,0,0,1682,0,0,2,0,3,1,7,98,2008,Normal,174000
5,5,1967,1967,1214,0,0,1214,0,0,2,0,3,1,5,0,2007,Normal,143000
7,5,1988,1989,1907,0,0,1959,0,0,3,0,5,2,9,0,2006,Family,171000
8,5,1999,2000,1004,848,0,1852,0,0,2,1,3,1,7,224,2008,Normal,230000
6,5,1997,1997,928,836,0,1764,1,0,2,1,3,1,7,276,2009,Normal,231500
4,5,1971,1971,864,0,0,864,0,0,1,0,3,1,5,0,2010,Normal,115000
7,5,2005,2005,1734,0,0,1734,1,0,2,0,3,1,7,160,2006,Normal,260000
5,4,1952,1952,910,475,0,1385,0,0,2,0,4,1,6,0,2010,Normal,166000
7,5,1999,1999,1490,0,0,1501,1,0,2,0,3,1,6,144,2009,Normal,204000
5,5,1963,1963,1728,0,0,1728,1,0,2,0,6,2,10,0,2006,Abnorml,125000
6,5,2004,2006,970,739,0,1709,0,0,2,0,3,1,7,0,2006,Normal,130000
5,7,1931,1993,715,0,0,875,1,0,1,0,2,1,5,48,2009,Normal,105000
7,5,2001,2001,884,1151,0,2035,0,0,2,1,3,1,8,144,2010,Normal,222500
7,5,2004,2005,1080,0,0,1080,1,0,1,0,3,1,6,0,2008,Normal,141000
5,4,1936,1950,896,448,0,1344,0,0,1,0,3,1,7,200,2006,Normal,115000
5,6,1975,1975,969,0,0,969,0,0,1,1,3,1,5,0,2007,Normal,122000
8,5,2007,2008,1710,0,0,1710,1,0,2,0,2,1,6,0,2008,Partial,372402
6,5,1971,1971,825,896,0,1993,0,0,2,1,4,1,8,0,2006,Normal,190000
6,7,1960,1975,1602,0,0,1252,1,0,1,0,1,1,4,409,2008,Normal,235000
6,5,1923,1950,1200,0,0,1200,0,0,1,0,4,1,7,0,2006,Family,125000
6,5,1924,1950,572,524,0,1096,0,0,1,0,2,1,5,0,2008,Normal,79000
5,7,1950,1950,0,0,0,1040,0,0,1,0,2,1,5,0,2006,Normal,109500
8,5,2009,2010,774,1194,0,1968,0,0,2,1,4,1,8,0,2010,Partial,269500
7,5,2004,2005,991,956,0,1947,0,0,2,1,3,1,8,0,2010,Normal,254900
7,5,2005,2006,1392,1070,0,2462,1,0,2,1,4,1,9,239,2006,Partial,320000
6,6,1984,1984,1232,0,0,1232,0,0,2,0,3,1,6,0,2008,Normal,162500
9,5,2003,2004,1572,1096,0,2668,1,0,2,1,3,1,10,400,2008,Normal,412500
7,5,2005,2005,1541,0,0,1541,0,0,2,0,3,1,7,0,2010,Partial,220000
4,6,1956,1956,882,0,0,882,0,0,1,0,1,1,4,0,2007,Normal,103200
6,7,1926,2004,1149,467,0,1616,0,0,2,0,3,1,5,0,2007,Normal,152000
5,7,1940,1999,644,547,0,1355,1,0,2,0,4,2,6,140,2008,Normal,127500
5,5,1955,1993,1617,0,0,1867,1,0,1,0,2,1,7,476,2009,Normal,190000
8,5,2007,2007,1582,551,0,2161,1,0,1,1,3,1,8,178,2007,Partial,325624
7,5,2004,2004,840,880,0,1720,0,0,2,1,3,1,7,100,2007,Normal,183500
8,6,1981,1981,1686,0,0,1707,0,0,2,1,2,1,6,574,2006,Normal,228000
5,6,1941,1950,720,0,528,1382,0,0,1,1,2,1,7,237,2007,Normal,128500
6,5,1960,1960,1080,0,0,1656,1,0,1,0,3,1,7,210,2010,Normal,215000
7,7,1987,1987,1064,703,0,1767,1,0,2,0,2,1,5,441,2006,Normal,239000
6,5,1961,1961,1362,0,0,1362,1,0,1,1,3,1,6,0,2008,Normal,163000
6,5,1986,1986,1606,0,0,1651,1,0,2,0,3,1,7,192,2008,Normal,184000
6,7,1950,2001,1202,0,0,2158,1,0,2,0,4,1,7,0,2007,Normal,243000
6,5,1988,1989,1151,896,0,2060,0,1,2,1,4,1,8,0,2007,Normal,211000
5,5,1958,1958,1052,668,0,1920,1,0,2,0,4,1,8,0,2006,Normal,172500
9,5,2008,2009,2216,0,0,2234,1,0,2,0,1,1,9,0,2009,Partial,501837
5,6,1923,2006,968,0,0,968,0,0,1,0,2,1,5,0,2007,Normal,100000
6,5,2000,2000,756,756,0,1525,0,0,2,1,3,1,5,0,2007,Normal,177000
7,6,1920,1950,793,901,0,1802,0,0,1,1,4,1,9,0,2006,Normal,200100
5,6,1957,2006,0,0,0,1340,0,0,1,0,3,1,7,116,2007,Normal,120000
7,5,2003,2003,1362,720,0,2082,0,0,2,1,3,1,6,280,2008,Normal,200000
5,8,1908,1991,504,316,0,1252,0,0,1,0,3,1,5,104,2006,Normal,127000
10,9,1892,1993,1107,1518,572,3608,0,0,2,1,4,1,12,0,2006,Normal,475000
7,5,1990,1991,1188,0,0,1217,1,0,2,0,3,1,6,168,2009,Normal,173000
5,7,1916,1987,660,704,144,1656,0,0,2,1,3,1,8,0,2009,Normal,135000
5,5,1979,1979,1086,0,0,1224,2,0,0,2,2,2,6,120,2009,Alloca,153337
8,5,2001,2002,1593,0,0,1593,1,0,1,1,0,1,5,0,2008,Normal,286000
8,8,1932,1994,853,1178,0,2727,0,0,2,1,3,1,10,0,2007,Normal,315000
7,9,1972,2004,725,754,0,1479,1,0,1,1,4,1,7,0,2007,Normal,184000
7,5,1999,1999,1431,0,0,1431,1,0,2,0,3,1,6,0,2009,Normal,192000
7,5,2004,2004,970,739,0,1709,0,0,2,0,3,1,7,0,2006,Normal,130000
5,7,1972,1972,864,0,0,864,0,0,1,0,3,1,5,0,2008,Normal,127000
6,6,1976,1976,855,601,0,1456,0,0,2,1,3,1,7,87,2009,Normal,148500
7,5,2007,2007,1726,0,0,1726,1,0,2,0,3,1,8,171,2007,Partial,311872
8,4,1918,1990,1360,1360,392,3112,1,1,2,0,4,1,8,0,2006,Abnorml,235000
6,6,1912,1950,755,929,371,2229,0,0,1,0,5,1,8,0,2009,Abnorml,104000
8,5,2004,2005,1713,0,0,1713,1,0,2,0,3,1,7,0,2009,Normal,274900
4,5,2003,2004,1121,0,0,1121,0,0,2,0,2,1,5,132,2010,Normal,140000
6,6,1977,1977,1196,0,0,1279,0,1,2,0,3,1,6,238,2008,Normal,171500
6,6,1924,1950,617,445,0,1310,0,0,2,0,2,1,6,0,2006,Normal,112000
6,5,2004,2004,848,0,0,848,1,0,1,0,1,1,3,149,2008,Normal,149000
5,7,1947,1950,720,564,0,1284,0,0,1,1,2,1,5,0,2009,Normal,110000
7,5,1990,1990,1424,0,0,1442,0,0,2,0,3,1,5,0,2009,Normal,180500
5,5,1962,1962,1140,0,0,1696,0,0,1,1,3,1,8,0,2007,Normal,143900
4,5,1960,1960,1100,0,0,1100,1,0,1,0,3,1,6,355,2008,Normal,141000
7,5,1988,1989,1157,882,0,2062,1,0,2,1,3,1,7,60,2007,Normal,277000
6,7,1964,1964,1092,0,0,1092,1,0,1,0,3,1,6,0,2008,Normal,145000
5,6,1925,1950,864,0,0,864,1,0,1,0,2,1,5,0,2008,Normal,98000
6,5,2009,2009,1212,0,0,1212,0,0,2,0,3,1,6,100,2010,Normal,186000
7,5,2009,2009,900,920,0,1852,1,0,2,1,3,1,7,168,2009,Partial,252678
5,5,1995,1995,990,0,0,990,0,1,1,0,3,1,5,224,2006,Normal,156000
6,7,1977,1977,689,703,0,1392,0,0,1,1,3,1,6,0,2010,Normal,161750
5,6,1957,1996,1070,0,0,1236,0,1,1,0,2,1,6,0,2006,Normal,134450
7,5,2004,2004,1436,0,0,1436,1,0,2,0,3,1,8,139,2008,Normal,210000
4,4,1925,1950,686,518,0,1328,0,0,1,0,3,1,8,0,2006,Family,107000
7,9,1939,2006,798,817,0,1954,0,1,1,1,3,1,8,0,2008,Normal,311500
7,5,2005,2006,1248,0,0,1248,0,0,2,0,2,1,5,108,2006,Partial,167240
7,5,2006,2006,1498,0,0,1498,0,0,2,0,2,1,5,351,2006,Partial,204900
6,5,2002,2002,1010,1257,0,2267,0,0,2,1,4,1,8,120,2009,Normal,200000
6,6,1975,1975,713,741,0,1552,1,0,2,1,3,1,6,209,2006,Normal,179900
4,6,1971,1971,864,0,0,864,0,0,1,0,2,1,4,216,2009,Abnorml,97000
10,5,2003,2003,2392,0,0,2392,0,0,2,0,3,1,8,248,2009,Normal,386250
5,5,1971,1971,630,672,0,1302,0,0,2,1,3,1,6,0,2009,Abnorml,112000
7,5,1995,1995,1203,1306,0,2520,0,0,2,1,4,1,9,224,2007,Abnorml,290000
6,6,1970,1970,483,504,0,987,0,0,1,1,2,1,5,0,2008,Normal,106000
5,5,1967,1967,912,0,0,912,0,0,1,0,3,1,5,0,2010,Normal,125000
7,5,2005,2006,1373,0,0,1555,0,0,2,0,2,1,7,143,2009,Normal,192500
6,6,1959,1959,1194,0,0,1194,1,0,1,0,3,1,6,0,2010,Normal,148000
8,5,1995,1996,1462,1304,0,2794,1,0,2,1,4,1,9,0,2009,Normal,403000
6,5,1972,1972,483,504,0,987,0,0,1,1,2,1,5,0,2006,Normal,94500
5,6,1976,1976,894,0,0,894,1,0,1,0,3,1,5,365,2010,Normal,128200
6,5,2002,2002,860,1100,0,1960,1,0,2,1,4,1,8,288,2010,Normal,216500
6,3,1971,1971,483,504,0,987,0,0,1,1,2,1,5,0,2008,Normal,89500
7,5,2004,2004,1414,0,0,1414,0,0,2,0,3,1,6,132,2010,Normal,185500
7,7,1993,2003,996,730,0,1744,0,0,2,1,3,1,7,370,2010,Normal,194500
8,5,2007,2007,1694,0,0,1694,0,0,2,0,3,1,7,168,2007,Partial,318000
6,4,1945,1950,735,689,0,1487,0,0,1,1,3,1,7,0,2010,Normal,113000
8,5,2008,2008,1566,0,0,1566,1,0,2,0,3,1,7,144,2010,Normal,262500
5,9,1945,1997,686,0,0,866,0,0,1,0,2,1,4,58,2007,Normal,110500
5,4,1900,1950,540,551,0,1440,0,0,1,0,3,1,6,0,2006,Normal,79000
6,6,1980,1980,626,591,0,1217,0,0,1,1,3,1,6,0,2009,Normal,120000
7,5,1994,2002,948,888,0,2110,1,0,2,1,3,1,8,0,2010,Normal,205000
7,5,1988,1988,1845,0,0,1872,0,1,2,0,3,1,6,197,2006,Normal,241500
6,8,1910,1950,1020,1020,0,1928,0,0,2,0,4,2,9,0,2006,Normal,137000
6,5,1954,1954,1367,0,0,1375,0,0,1,0,2,1,5,0,2006,Normal,140000
7,5,2003,2003,840,828,0,1668,0,0,2,1,3,1,8,144,2007,Normal,180000
6,7,1958,2006,1444,700,0,2144,0,1,2,0,4,1,7,0,2007,Normal,277000
3,2,1940,1966,728,0,0,1306,0,0,1,0,3,1,6,263,2010,Normal,76500
8,5,2006,2007,1573,0,0,1625,1,1,2,0,2,1,5,123,2007,Family,235000
6,5,2004,2004,798,842,0,1640,0,0,2,1,3,1,6,138,2008,Normal,173000
6,7,1964,1991,1302,0,0,1302,0,1,2,0,3,1,7,333,2007,Normal,158000
5,6,1957,1957,1314,0,0,1314,1,0,1,0,3,1,5,250,2010,Normal,145000
7,5,1999,1999,975,1286,0,2291,0,0,2,1,4,1,8,192,2006,Normal,230000
6,5,2003,2003,864,864,0,1728,0,0,2,1,3,1,7,216,2008,Normal,207500
7,5,2006,2006,1604,0,0,1604,1,0,2,1,3,1,8,123,2009,Abnorml,220000
7,5,2001,2001,963,829,0,1792,0,0,2,1,3,1,7,0,2008,Normal,231500
5,5,1956,1956,0,0,0,882,0,0,1,0,2,1,4,0,2008,Normal,97000
6,5,1962,1962,1362,0,0,1382,1,0,1,0,3,1,6,0,2009,Normal,176000
8,5,2007,2007,1482,1092,0,2574,0,0,2,1,3,1,10,0,2007,Partial,276000
6,7,1977,1995,506,0,0,1212,1,0,1,0,3,1,6,292,2006,Normal,151000
5,7,1929,2001,926,0,390,1316,1,0,1,0,3,1,6,0,2010,Normal,130000
5,5,1925,2004,680,0,0,764,0,0,1,0,2,1,4,0,2008,Normal,73000
6,6,1981,1981,1422,0,0,1422,0,0,2,0,3,1,7,276,2008,Normal,175500
6,5,1997,1997,802,709,0,1511,1,0,2,1,3,1,8,95,2006,Normal,185000
5,8,1939,1997,720,720,420,2192,0,0,2,1,4,1,8,262,2008,Normal,179500
5,6,1940,1955,740,0,0,778,0,0,1,0,2,1,4,0,2008,Normal,120500
6,7,1976,1976,1143,0,0,1113,1,0,1,1,3,1,6,370,2007,Normal,148000
8,5,2006,2006,1095,844,0,1939,0,0,2,1,3,1,8,192,2006,Partial,266000
7,7,1954,2005,1385,0,0,1363,1,0,1,0,2,1,5,81,2008,Normal,241500
8,7,1999,2007,1152,1106,0,2270,0,0,2,1,4,1,9,132,2010,Normal,290000
6,6,1958,1988,1240,0,0,1632,1,0,2,0,3,1,6,289,2009,Normal,139000
5,7,1982,1982,816,0,0,816,0,0,1,0,2,1,5,168,2007,Normal,124500
7,7,1925,2007,952,596,0,1548,0,0,2,1,3,1,5,74,2009,Normal,205000
7,5,2003,2003,1560,0,0,1560,0,0,2,0,3,1,7,100,2010,Normal,201000
4,5,1951,1951,864,0,0,864,0,0,1,0,2,1,4,0,2010,Normal,141000
9,5,2006,2007,2121,0,0,2121,0,0,2,1,3,1,8,124,2007,Partial,415298
7,5,1977,1977,1160,866,0,2022,0,0,2,1,4,1,8,288,2008,Normal,192000
7,6,1989,1989,807,807,0,1982,0,0,2,1,3,1,7,0,2007,Normal,228500
6,5,2006,2006,1262,0,0,1262,0,0,2,0,2,1,5,0,2006,Partial,185000
7,5,2007,2008,1314,0,0,1314,1,0,2,0,2,1,6,172,2009,Normal,207500
8,5,2008,2009,1468,0,0,1468,0,0,2,0,3,1,6,210,2009,Partial,244600
6,5,1992,1992,1575,0,0,1575,1,0,2,0,2,1,5,0,2007,Normal,179200
7,5,2006,2007,625,625,0,1250,0,0,2,1,2,1,5,0,2007,Partial,164700
6,7,1962,1981,912,649,0,1734,0,0,1,1,3,1,7,0,2006,Normal,159000
4,4,1971,1971,858,0,0,858,0,0,1,0,3,1,5,0,2006,Normal,88000
5,5,1967,1967,882,0,0,900,0,0,1,0,3,1,5,0,2010,Normal,122000
6,7,1915,2003,698,698,0,1396,0,0,1,0,3,1,7,0,2007,Normal,153575
8,5,2006,2006,1079,840,0,1919,0,0,2,1,3,1,8,0,2006,Partial,233230
5,6,1912,2000,780,780,0,1716,1,0,2,0,6,1,9,0,2008,Normal,135900
5,4,1949,2008,768,568,0,1716,0,0,1,1,3,1,8,0,2009,Normal,131000
7,7,1977,1994,795,795,0,2263,1,0,2,1,3,1,9,0,2006,Normal,235000
6,5,1953,1953,1416,0,0,1644,1,0,1,0,3,1,7,110,2009,Normal,167000
6,6,1984,1984,1003,0,0,1003,1,0,1,0,3,1,6,120,2006,Normal,142500
5,5,1950,1950,910,648,0,1558,0,0,1,1,4,1,6,289,2007,Normal,152000
7,5,1997,1998,975,975,0,1950,0,0,2,1,3,1,7,0,2007,Normal,239000
6,6,1968,1968,702,702,0,1743,0,1,1,2,3,1,7,224,2007,Normal,175000
6,8,1950,2004,1092,0,0,1152,0,1,1,0,3,1,6,0,2009,Family,158500
