YearBuilt,2ndFlrSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,YrSold,SalePrice
1971,896,1993,2,1,4,8,2006,190000
1960,0,1252,1,0,1,4,2008,235000
1923,0,1200,1,0,4,7,2006,125000
1924,524,1096,1,0,2,5,2008,79000
1950,0,1040,1,0,2,5,2006,109500
2009,1194,1968,2,1,4,8,2010,269500
2004,956,1947,2,1,3,8,2010,254900
2005,1070,2462,2,1,4,9,2006,320000
1984,0,1232,2,0,3,6,2008,162500
2003,1096,2668,2,1,3,10,2008,412500
2005,0,1541,2,0,3,7,2010,220000
1956,0,882,1,0,1,4,2007,103200
1926,467,1616,2,0,3,5,2007,152000
1940,547,1355,2,0,4,6,2008,127500
1955,0,1867,1,0,2,7,2009,190000
2007,551,2161,1,1,3,8,2007,325624
2004,880,1720,2,1,3,7,2007,183500
1981,0,1707,2,1,2,6,2006,228000
1941,0,1382,1,1,2,7,2007,128500
1960,0,1656,1,0,3,7,2010,215000
1987,703,1767,2,0,2,5,2006,239000
1961,0,1362,1,1,3,6,2008,163000
1986,0,1651,2,0,3,7,2008,184000
1950,0,2158,2,0,4,7,2007,243000
1988,896,2060,2,1,4,8,2007,211000
1958,668,1920,2,0,4,8,2006,172500
2008,0,2234,2,0,1,9,2009,501837
1923,0,968,1,0,2,5,2007,100000
2000,756,1525,2,1,3,5,2007,177000
1920,901,1802,1,1,4,9,2006,200100
1957,0,1340,1,0,3,7,2007,120000
2003,720,2082,2,1,3,6,2008,200000
1908,316,1252,1,0,3,5,2006,127000
1892,1518,3608,2,1,4,12,2006,475000
1990,0,1217,2,0,3,6,2009,173000
1916,704,1656,2,1,3,8,2009,135000
1979,0,1224,0,2,2,6,2009,153337
2001,0,1593,1,1,0,5,2008,286000
1932,1178,2727,2,1,3,10,2007,315000
1972,754,1479,1,1,4,7,2007,184000
1999,0,1431,2,0,3,6,2009,192000
2004,739,1709,2,0,3,7,2006,130000
1972,0,864,1,0,3,5,2008,127000
1976,601,1456,2,1,3,7,2009,148500
2007,0,1726,2,0,3,8,2007,311872
1918,1360,3112,2,0,4,8,2006,235000
1912,929,2229,1,0,5,8,2009,104000
2004,0,1713,2,0,3,7,2009,274900
2003,0,1121,2,0,2,5,2010,140000
1977,0,1279,2,0,3,6,2008,171500
1924,445,1310,2,0,2,6,2006,112000
2004,0,848,1,0,1,3,2008,149000
1947,564,1284,1,1,2,5,2009,110000
1990,0,1442,2,0,3,5,2009,180500
1962,0,1696,1,1,3,8,2007,143900
1960,0,1100,1,0,3,6,2008,141000
1988,882,2062,2,1,3,7,2007,277000
1964,0,1092,1,0,3,6,2008,145000
1925,0,864,1,0,2,5,2008,98000
2009,0,1212,2,0,3,6,2010,186000
2009,920,1852,2,1,3,7,2009,252678
1995,0,990,1,0,3,5,2006,156000
1977,703,1392,1,1,3,6,2010,161750
1957,0,1236,1,0,2,6,2006,134450
2004,0,1436,2,0,3,8,2008,210000
1925,518,1328,1,0,3,8,2006,107000
1939,817,1954,1,1,3,8,2008,311500
2005,0,1248,2,0,2,5,2006,167240
2006,0,1498,2,0,2,5,2006,204900
2002,1257,2267,2,1,4,8,2009,200000
1975,741,1552,2,1,3,6,2006,179900
1971,0,864,1,0,2,4,2009,97000
2003,0,2392,2,0,3,8,2009,386250
1971,672,1302,2,1,3,6,2009,112000
1995,1306,2520,2,1,4,9,2007,290000
1970,504,987,1,1,2,5,2008,106000
1967,0,912,1,0,3,5,2010,125000
2005,0,1555,2,0,2,7,2009,192500
1959,0,1194,1,0,3,6,2010,148000
1995,1304,2794,2,1,4,9,2009,403000
1972,504,987,1,1,2,5,2006,94500
1976,0,894,1,0,3,5,2010,128200
2002,1100,1960,2,1,4,8,2010,216500
1971,504,987,1,1,2,5,2008,89500
2004,0,1414,2,0,3,6,2010,185500
1993,730,1744,2,1,3,7,2010,194500
2007,0,1694,2,0,3,7,2007,318000
1945,689,1487,1,1,3,7,2010,113000
2008,0,1566,2,0,3,7,2010,262500
1945,0,866,1,0,2,4,2007,110500
1900,551,1440,1,0,3,6,2006,79000
1980,591,1217,1,1,3,6,2009,120000
1994,888,2110,2,1,3,8,2010,205000
1988,0,1872,2,0,3,6,2006,241500
1910,1020,1928,2,0,4,9,2006,137000
1954,0,1375,1,0,2,5,2006,140000
2003,828,1668,2,1,3,8,2007,180000
1958,700,2144,2,0,4,7,2007,277000
1940,0,1306,1,0,3,6,2010,76500
2006,0,1625,2,0,2,5,2007,235000
2004,842,1640,2,1,3,6,2008,173000
1964,0,1302,2,0,3,7,2007,158000
1957,0,1314,1,0,3,5,2010,145000
1999,1286,2291,2,1,4,8,2006,230000
2003,864,1728,2,1,3,7,2008,207500
2006,0,1604,2,1,3,8,2009,220000
2001,829,1792,2,1,3,7,2008,231500
1956,0,882,1,0,2,4,2008,97000
1962,0,1382,1,0,3,6,2009,176000
2007,1092,2574,2,1,3,10,2007,276000
1977,0,1212,1,0,3,6,2006,151000
1929,0,1316,1,0,3,6,2010,130000
1925,0,764,1,0,2,4,2008,73000
1981,0,1422,2,0,3,7,2008,175500
1997,709,1511,2,1,3,8,2006,185000
1939,720,2192,2,1,4,8,2008,179500
1940,0,778,1,0,2,4,2008,120500
1976,0,1113,1,1,3,6,2007,148000
2006,844,1939,2,1,3,8,2006,266000
1954,0,1363,1,0,2,5,2008,241500
1999,1106,2270,2,1,4,9,2010,290000
1958,0,1632,2,0,3,6,2009,139000
1982,0,816,1,0,2,5,2007,124500
1925,596,1548,2,1,3,5,2009,205000
2003,0,1560,2,0,3,7,2010,201000
1951,0,864,1,0,2,4,2010,141000
2006,0,2121,2,1,3,8,2007,415298
1977,866,2022,2,1,4,8,2008,192000
1989,807,1982,2,1,3,7,2007,228500
2006,0,1262,2,0,2,5,2006,185000
2007,0,1314,2,0,2,6,2009,207500
2008,0,1468,2,0,3,6,2009,244600
1992,0,1575,2,0,2,5,2007,179200
2006,625,1250,2,1,2,5,2007,164700
1962,649,1734,1,1,3,7,2006,159000
1971,0,858,1,0,3,5,2006,88000
1967,0,900,1,0,3,5,2010,122000
1915,698,1396,1,0,3,7,2007,153575
2006,840,1919,2,1,3,8,2006,233230
1912,780,1716,2,0,6,9,2008,135900
1949,568,1716,1,1,3,8,2009,131000
1977,795,2263,2,1,3,9,2006,235000
1953,0,1644,1,0,3,7,2009,167000
1984,0,1003,1,0,3,6,2006,142500
1950,648,1558,1,1,4,6,2007,152000
1997,975,1950,2,1,3,7,2007,239000
1968,702,1743,1,2,3,7,2007,175000
1950,0,1152,1,0,3,6,2009,158500
1953,0,1336,1,0,2,5,2006,157000
1998,1242,2452,2,1,4,9,2007,267000
2001,0,1541,2,0,3,6,2006,205000
1972,0,894,1,0,3,5,2006,149900
1880,1818,3493,3,0,3,10,2008,295000
2004,0,2000,2,0,3,8,2007,305900
1990,1121,2243,2,1,4,8,2007,225000
1920,371,1406,1,0,3,6,2008,89500
1940,0,861,1,0,1,4,2009,82500
2003,0,1944,2,0,3,8,2006,360000
1993,804,1501,2,1,3,6,2006,165600
1948,0,972,1,0,2,5,2009,132000
1939,325,1118,1,0,3,5,2006,119900
1965,0,2036,2,0,3,8,2009,375000
1925,809,1641,1,1,3,6,2006,178000
2004,716,1432,2,1,3,6,2009,188500
1980,1200,2353,2,1,4,10,2009,260000
2006,871,1959,2,1,3,8,2007,270000
1993,1274,2646,2,1,4,9,2009,260000
1980,0,1472,2,0,3,6,2009,187500
2006,1347,2596,3,1,4,9,2006,342643
2004,1332,2468,2,1,4,10,2007,354000
1986,1177,2730,2,1,4,8,2007,301000
1955,0,1163,1,0,3,6,2006,126175
1967,1080,2978,2,1,5,11,2010,242000
1941,0,803,1,0,2,5,2007,87000
1993,0,1719,1,1,1,6,2008,324000
1960,0,1383,1,1,3,7,2006,145250
1916,689,2134,2,0,5,10,2009,214500
1920,596,1192,1,0,3,6,2009,78000
1964,0,1728,2,0,6,10,2007,119000
1958,0,1056,1,0,3,6,2007,139000
2003,0,1629,2,0,3,7,2009,284000
2004,0,1358,2,0,2,6,2008,207000
1998,695,1638,2,1,3,7,2008,192000
1965,167,1786,2,0,3,7,2008,228950
2005,0,1922,2,0,3,8,2007,377426
2002,0,1536,2,0,3,7,2008,214000
1984,0,1621,2,0,3,8,2006,202500
1958,0,1215,1,0,3,6,2009,155000
2002,915,1908,2,1,4,9,2010,202900
1950,0,841,1,0,2,4,2009,82000
1949,0,1040,2,0,2,6,2006,87500
2005,0,1684,2,0,2,6,2008,266000
1976,576,1112,1,1,3,4,2010,85000
1939,605,1577,1,0,3,6,2006,140200
1960,0,958,1,0,2,5,2007,151500
1960,0,1478,2,0,3,6,2009,157500
2003,862,1626,2,1,2,6,2008,154000
2005,880,2728,2,1,4,10,2006,437154
2007,0,1869,2,0,2,6,2007,318061
1986,0,1453,1,1,2,6,2006,190000
1941,495,1111,1,0,3,5,2008,95000
1928,0,720,1,0,2,5,2010,105900
1940,403,1595,1,0,2,6,2006,140000
1995,0,1200,2,0,3,6,2007,177500
1992,0,1167,2,0,3,6,2009,173000
1976,0,1142,1,1,3,6,2007,134000
1958,0,1352,1,0,3,6,2006,130000
1998,838,1924,2,1,3,7,2006,280000
1978,0,912,1,0,2,5,2007,156000
1940,517,1505,1,0,3,8,2008,145000
2003,1427,1922,3,0,4,7,2009,198500
1972,504,987,1,1,2,5,2009,118000
1976,784,1574,2,1,3,6,2006,190000
1920,672,1344,1,0,3,6,2009,147000
1963,0,1394,1,1,3,6,2009,159000
1962,0,1431,1,0,3,6,2008,165000
1954,0,1268,1,0,2,7,2010,132000
1959,0,1287,1,0,3,7,2010,162000
2000,711,1664,2,1,3,7,2006,172400
1959,468,1588,2,0,4,7,2008,134432
1984,0,752,1,0,2,4,2010,125000
1953,0,1319,1,0,3,5,2009,123000
2003,1081,1928,2,1,4,8,2007,219500
1922,0,904,0,1,1,4,2009,61000
1996,0,914,1,0,2,5,2006,148000
2004,886,2466,3,0,4,8,2007,340000
2010,0,1856,1,1,1,8,2010,394432
2000,793,1800,2,1,3,7,2009,179000
1924,665,1691,2,0,3,6,2010,127000
2006,0,1301,2,0,2,5,2006,187750
2006,858,1797,2,1,3,8,2007,213500
1928,0,784,1,0,2,5,2009,76000
1992,874,1953,2,1,3,9,2007,240000
2004,0,1269,2,0,2,6,2010,192000
1910,526,1184,1,0,5,8,2006,81000
1976,0,1125,1,0,3,6,2009,125000
1999,0,1479,2,0,3,6,2008,191000
2007,590,2332,2,1,3,9,2008,426000
1900,406,1367,1,0,4,7,2008,119000
2001,1157,1961,2,1,3,7,2009,215000
1959,0,882,1,0,3,5,2007,106500
1941,0,788,1,0,2,4,2006,100000
1940,299,1034,1,0,2,5,2007,109000
1956,0,1144,1,0,3,6,2010,129000
1972,0,894,1,0,2,6,2009,123000
1962,936,1812,2,0,4,8,2007,169500
1920,0,1077,1,0,2,6,2007,67000
2006,438,1550,2,0,2,7,2009,241000
1996,0,1288,1,1,1,4,2008,245500
2005,0,1310,2,0,3,6,2006,164990
1940,0,672,1,0,2,4,2008,108000
1998,1098,2263,2,1,4,10,2006,258000
1995,766,1572,2,1,3,7,2007,168000
1976,0,1620,2,0,3,8,2009,150000
1936,0,1639,1,0,3,6,2008,115000
1915,840,1680,2,0,4,8,2008,177000
2006,1101,2172,2,1,3,9,2007,280000
2007,1028,2078,2,1,3,8,2008,339750
1958,0,1276,1,0,3,5,2009,60000
1955,0,1056,1,0,3,5,2006,145000
2009,0,1478,2,1,2,7,2010,222000
1927,0,1028,1,0,2,5,2010,115000
1993,1017,2097,2,1,3,9,2008,228000
2007,0,1340,2,0,3,6,2007,181134
1978,728,1400,1,1,3,6,2006,149500
1918,1254,2624,2,1,4,10,2007,239000
1940,378,1134,1,1,3,7,2007,126000
1968,0,1056,1,0,3,6,2010,142000
1997,0,1344,2,0,2,8,2008,206300
1977,0,1602,2,0,3,8,2009,215000
1954,0,988,1,0,2,4,2008,113000
1998,1160,2630,2,1,4,8,2008,315000
1956,0,1196,1,0,2,6,2008,139000
1946,682,1389,1,1,3,6,2009,135000
1989,0,1644,2,0,2,5,2009,275000
1957,0,907,1,0,3,5,2008,109008
2007,0,1208,2,0,2,6,2007,195400
1988,0,1412,2,0,3,6,2009,175000
1971,504,987,1,1,2,4,2008,85400
1920,110,1198,1,0,4,7,2008,79900
1971,600,1365,1,1,2,6,2007,122500
1997,678,1604,2,1,3,7,2008,181000
1972,0,630,1,0,1,3,2008,81000
1996,834,1661,2,1,3,6,2009,212000
1920,384,1118,1,0,2,6,2006,116000
1926,0,904,1,0,2,4,2009,119000
1913,0,694,1,0,2,4,2007,90350
1920,512,1196,1,0,3,7,2009,110000
2008,0,2402,2,0,2,10,2009,555000
1955,0,1440,2,0,4,8,2008,118000
1930,445,1573,2,0,3,8,2008,162900
2006,0,1258,2,0,2,6,2007,172500
1994,975,1908,2,1,4,8,2008,210000
1956,0,1689,1,0,3,7,2009,127500
1966,0,1888,2,1,2,6,2010,190000
1998,930,1886,2,1,4,10,2006,199900
1937,596,1376,2,0,3,7,2006,119500
1948,504,1183,1,1,2,6,2007,120000
1930,0,813,1,0,2,5,2006,110000
1975,0,1533,2,0,2,5,2006,280000
1996,868,1756,2,1,3,7,2007,204000
2008,804,1590,2,1,3,6,2009,210000
1976,0,1728,2,0,4,8,2006,188000
1973,0,1242,1,1,3,6,2007,175500
1916,720,1344,1,0,4,7,2008,98000
1954,0,1663,1,0,2,6,2008,256000
1925,833,1666,1,0,3,7,2008,161000
1950,224,1203,1,0,3,5,2009,110000
2009,1103,1935,2,1,3,8,2009,263435
1936,560,1135,1,0,3,6,2009,155000
1965,0,864,1,0,3,5,2009,62383
1934,811,1660,1,1,3,6,2008,188700
1978,0,1040,2,0,3,5,2009,124000
2004,0,1414,2,0,2,6,2006,178740
1970,0,1277,1,0,2,5,2007,167000
1942,756,1644,1,1,3,7,2007,146500
2006,0,1634,2,0,3,7,2007,250000
1993,878,1710,2,1,3,7,2008,187000
1985,0,1502,1,1,1,4,2010,212000
1977,808,1969,2,1,3,8,2007,190000
2005,0,1072,1,0,2,5,2008,148000
2006,0,1976,2,0,2,7,2007,440000
2000,0,1652,2,0,2,6,2007,251000
1963,0,970,1,0,2,5,2007,132500
1997,0,1493,2,0,3,7,2008,208900
2006,574,2643,2,1,3,9,2007,380000
2007,0,1718,2,0,3,7,2009,297000
1937,0,1131,1,0,2,7,2007,89471
2004,0,1850,2,0,3,8,2006,326000
2003,0,1792,2,0,2,6,2006,374000
1915,910,1826,1,1,4,7,2009,155000
1998,0,1216,2,0,2,5,2006,164000
1962,0,999,1,0,3,6,2007,132500
1950,0,1113,1,0,3,5,2009,147000
1965,0,1073,1,1,3,6,2007,156000
1971,0,1484,2,0,3,7,2007,175000
1900,648,2414,2,0,3,10,2006,160000
1970,0,630,1,0,1,3,2009,86000
1976,688,1304,1,1,3,4,2008,115000
1941,620,1578,1,0,3,5,2006,133000
2006,728,1456,2,1,3,8,2006,172785
1960,0,1269,1,1,3,6,2008,155000
1938,0,886,1,0,2,4,2009,91300
1920,0,720,1,0,2,4,2009,34900
1992,0,3228,3,0,4,10,2007,430000
1925,687,1820,2,0,4,8,2008,184000
1967,0,899,1,0,3,5,2009,130000
1958,0,912,1,0,2,5,2007,120000
1973,546,1218,1,1,3,7,2007,113000
2005,902,1768,2,1,3,7,2008,226700
1965,0,1214,1,0,2,6,2007,140000
1959,0,1801,2,0,1,6,2010,289000
1974,467,1322,2,1,3,6,2009,147000
1952,1000,1960,2,0,4,10,2009,124500
1993,846,1911,2,1,3,8,2006,215000
2009,0,1218,2,0,2,4,2009,208300
1928,689,1378,2,0,3,7,2008,161000
1959,0,1041,1,0,3,6,2009,124500
1951,0,1363,1,0,2,6,2009,164900
2005,0,1368,2,0,2,6,2006,202665
1958,0,864,1,0,3,5,2006,129900
1983,0,1080,1,1,3,5,2007,134000
1926,0,789,1,0,2,5,2007,96500
2009,0,2020,2,1,3,9,2009,402861
1972,741,2119,2,1,3,7,2009,158000
1996,1067,2344,2,1,3,7,2009,265000
1998,914,1796,2,1,3,7,2007,211000
1926,804,2080,1,1,3,9,2009,234000
1900,600,1294,2,0,3,7,2008,106250
1957,0,1244,1,1,3,6,2007,150000
1947,660,1664,2,0,3,7,2006,159000
2007,1538,4676,3,1,3,11,2007,184750
1996,1015,2398,2,1,3,8,2007,315750
2005,0,1266,2,0,3,6,2006,176000
1956,0,928,1,0,2,4,2007,132000
2008,1237,2713,2,1,3,11,2008,446261
1920,0,605,1,0,2,5,2007,86000
1957,0,2515,3,0,4,9,2007,200624
1988,0,1509,2,0,3,5,2008,175000
1920,611,1362,2,0,3,6,2008,128000
1955,0,827,1,0,2,5,2010,107500
1946,0,334,1,0,1,2,2007,39300
2004,707,1414,2,1,3,6,2006,178000
1910,527,1347,1,0,3,5,2008,107500
1998,844,1724,2,1,3,8,2008,188000
1972,0,864,1,0,3,5,2008,111250
1968,0,1159,1,1,3,7,2006,158000
2001,0,1601,2,0,3,6,2010,272000
2006,0,1838,2,0,2,8,2009,315000
2000,1288,2285,2,1,4,8,2007,248000
1998,0,1680,2,0,3,7,2009,213250
1998,0,767,1,0,1,4,2007,133000
2006,832,1496,2,1,3,7,2006,179665
1988,806,2183,2,1,4,9,2006,229000
1923,720,1635,1,1,3,6,2007,210000
1970,0,768,1,0,2,5,2007,129500
1955,0,825,1,0,2,4,2008,125000
2003,1182,2094,2,1,4,8,2009,263000
1977,0,1069,2,0,2,4,2008,140000
1957,0,928,1,0,3,5,2008,112500
2006,0,1717,2,0,3,7,2009,255500
1949,0,1126,2,0,2,5,2009,108000
2003,1040,2046,2,1,3,8,2008,284000
1922,0,1048,1,0,2,5,2006,113000
1957,0,1092,1,0,2,6,2006,141000
1920,439,1336,1,1,3,7,2006,108000
1996,717,1446,2,1,3,6,2008,175000
2003,0,1557,2,0,2,7,2006,234000
1957,0,1392,1,1,3,5,2010,121500
1974,0,1389,1,0,2,6,2006,170000
1940,0,996,1,0,3,6,2008,108000
1918,511,1674,2,0,4,8,2008,185000
1992,1129,2295,2,1,4,9,2006,268000
1915,806,1647,1,1,4,6,2010,128000
2005,1370,2504,2,1,4,11,2008,325000
2004,0,1535,2,0,3,7,2010,214000
1983,636,2132,1,1,1,5,2009,316600
1979,0,943,1,0,2,4,2006,135960
1965,0,1728,2,0,6,10,2008,142600
1959,0,864,1,0,2,4,2006,120000
2009,846,1692,2,1,3,6,2009,224500
2000,656,1430,2,1,3,8,2007,170000
1971,533,1109,1,0,3,5,2007,139000
1947,384,1216,1,0,2,6,2008,118500
1928,600,1477,2,0,3,6,2009,145000
1966,0,1320,1,0,3,6,2006,164500
2007,689,1392,2,0,2,5,2008,146000
1954,745,1795,2,0,4,7,2008,131500
1960,0,1429,1,0,3,7,2007,181900
2008,0,2042,2,1,3,8,2009,253293
1990,0,816,1,0,3,5,2007,118500
1893,1254,2775,3,1,3,9,2008,325000
1935,584,1573,1,0,3,6,2009,133000
2005,0,2028,2,0,2,7,2006,369900
1918,0,838,1,0,2,5,2008,130000
1982,0,860,1,0,2,4,2009,137000
1968,0,1473,1,0,1,5,2009,143000
1930,0,935,1,0,2,4,2008,79500
2004,812,1582,2,1,3,6,2008,185900
2008,568,2296,2,1,3,10,2009,451950
1982,0,816,1,0,2,4,2008,138000
2003,0,848,1,0,1,4,2009,140000
1975,0,924,1,0,3,5,2008,110000
2005,0,1826,2,0,3,7,2006,319000
1910,684,1368,1,0,3,7,2006,114504
2006,0,1402,0,2,2,7,2007,194201
1977,0,1647,2,0,3,7,2006,217500
1980,840,1556,2,1,3,6,2008,151000
2005,846,1904,2,1,3,8,2006,275000
1937,595,1375,1,1,3,6,2007,141000
1992,988,1915,2,1,3,8,2006,220000
2004,600,1200,2,1,2,4,2010,151000
2002,0,1494,2,0,3,6,2008,221000
1965,800,1986,2,1,3,7,2009,205000
1996,0,1040,1,0,3,6,2009,152000
1948,896,2008,3,0,3,8,2006,225000
1934,1254,3194,2,1,4,10,2007,359100
1961,0,1029,1,0,3,5,2007,118500
2000,677,2153,2,1,3,8,2009,313000
1978,0,1032,2,0,3,6,2007,148000
2001,573,1872,2,1,3,7,2009,261500
2007,0,1120,1,0,3,6,2007,147000
1972,0,630,1,0,1,3,2010,75500
1963,0,1054,1,0,3,6,2010,137500
2002,702,1509,2,1,3,7,2006,183200
1954,0,832,1,0,2,4,2008,105500
2007,0,1828,2,0,3,9,2007,314813
2003,780,2262,2,1,4,10,2008,305000
1914,0,864,1,0,2,5,2008,67000
1974,1066,2614,2,1,4,9,2008,240000
1977,0,980,1,0,3,6,2009,135000
2000,756,1512,2,1,2,4,2007,168500
1972,778,1790,1,2,4,8,2006,165150
1962,0,1116,1,1,3,5,2010,160000
1960,0,1422,1,0,3,6,2007,139900
1955,0,1520,1,0,3,7,2010,153000
1969,1040,2080,1,2,5,9,2007,135000
1964,0,1350,1,1,3,6,2008,168500
1880,661,1750,1,0,3,8,2006,124000
2006,0,1554,2,0,2,6,2007,209500
